name,full_name,age,date_of_birth,place_of_birth,nationality,height_cm,foot,current_club,position,shirt_number,joined_club,contract_until,market_value,max_market_value,matches_played,goals,assists,minutes_played,yellow_cards,red_cards,error
Frédéric Guilbert,,31,24/12/1994,Valognes,France,178,right,FC Nantes,Defender - Right-Back,24,28/01/2026,30/06/2026,€800k,,225,5,15,,,,
Johann Lepenant,,23,22/10/2002,Granville,France,176,right,FC Nantes,Midfield - Defensive Midfield,8,01/07/2025,30/06/2029,€7.00m,,,,,,,,
Ibrahima Sissoko,,28,27/10/1997,Meaux,"Mali, France",193,right,FC Nantes,Midfield - Defensive Midfield,28,12/01/2026,30/06/2028,€3.00m,,,,,,,,
Francis Coquelin,,34,13/05/1991,Laval,"France, Réunion",177,right,FC Nantes,Midfield - Defensive Midfield,13,31/01/2025,30/06/2026,€800k,,,,,,,,
Bahmed Deuff,,19,10/03/2006,Nouakchott,"France, Mauritania",194,right,FC Nantes,Midfield - Defensive Midfield,52,08/07/2025,30/06/2029,€300k,,,,,,,,
Dehmaine Tabibou,Dehmaine Tabibou Assoumani,20,17/04/2005,Drancy,"France, Comoros",183,left,FC Nantes,Midfield - Central Midfield,17,01/07/2024,30/06/2030,€2.00m,,,,,,,,
Mohamed Kaba,Mohamed Kaba Dramé,24,27/10/2001,Orléans,"France, Guinea",185,right,FC Nantes,Midfield - Central Midfield,21,29/01/2026,30/06/2026,€1.50m,,,,,,,,
Louis Leroux,,20,23/01/2006,Le Longeron,France,184,left,FC Nantes,Midfield - Attacking Midfield,66,01/07/2024,30/06/2030,€9.00m,,,,,,,,
Rémy Cabella,Rémy Joseph Cabella,35,08/03/1990,Ajaccio,"France, Italy",172,right,FC Nantes,Midfield - Attacking Midfield,20,01/01/2026,30/06/2026,€1.50m,,,,,,,,
Herba Guirassy,Bahereba Guirassy,19,29/08/2006,Angers,"France, Guinea",186,right,FC Nantes,Attack - Left Winger,11,01/07/2024,30/06/2028,€6.00m,,,,,,,,
Matthis Abline,,22,28/03/2003,Angers,France,182,right,FC Nantes,Attack - Centre-Forward,10,03/07/2024,30/06/2028,€20.00m,,,,,,,,
Mostafa Mohamed,مصطفى محمد,28,28/11/1997,Giza,Egypt,185,right,FC Nantes,Attack - Centre-Forward,31,01/07/2023,30/06/2027,€4.00m,,,,,,,,
Ignatius Ganago,Ignatius Kpene Ganago,26,16/02/1999,Douala,"Cameroon, Nigeria",176,right,FC Nantes,Attack - Centre-Forward,37,01/09/2022,30/06/2027,€2.00m,,,,,,,,
Amady Camara,,20,28/05/2005,Bamako,Mali,180,left,FC Nantes,Attack - Centre-Forward,14,09/08/2025,30/06/2026,€1.20m,,,,,,,,
Youssef El Arabi,يوسف العربي,39,03/02/1987,Caen,"Morocco, France",183,right,FC Nantes,Attack - Centre-Forward,19,18/07/2025,30/06/2026,€150k,,,,,,,,
Radoslaw Majecki,Radosław Majecki,26,16/11/1999,Starachowice,Poland,193,right,Stade Brestois,Goalkeeper,1,09/08/2025,30/06/2026,€4.00m,,,,,,,,
Grégoire Coudert,,26,03/04/1999,Rodez,France,192,left,Stade Brestois,Goalkeeper,30,05/07/2021,30/06/2027,€800k,,,,,,,,
Noah Jauny,,21,26/08/2004,Dublin,Ireland,194,right,Stade Brestois,Goalkeeper,50,01/07/2024,30/06/2027,,,,,,,,,
Soumaïla Coulibaly,,22,14/10/2003,Montfermeil,"France, Mali",191,left,Stade Brestois,Defender - Centre-Back,44,04/10/2025,30/06/2026,€7.00m,,,,,,,,
Junior Diaz,Michel Junior Diaz,22,23/07/2003,Saint-Herblain,"Cote d'Ivoire, France",193,right,Stade Brestois,Defender - Centre-Back,4,13/07/2025,30/06/2026,€5.00m,,,,,,,,
Brendan Chardonnet,,31,22/12/1994,Saint-Renan,France,181,right,Stade Brestois,Defender - Centre-Back,5,01/07/2013,30/06/2027,€5.00m,,,,,,,,
Raphaël Le Guen,,19,01/09/2006,,France,196,right,Stade Brestois,Defender - Centre-Back,71,21/01/2026,30/06/2029,€50k,,,,,,,,
Bradley Locko,Bradley Locko Banzouzi,23,06/05/2002,Ivry-sur-Seine,"France, Congo",180,left,Stade Brestois,Defender - Left-Back,2,27/07/2023,30/06/2027,€7.00m,,,,,,,,
Daouda Guindo,,23,14/10/2002,Bamako,Mali,183,left,Stade Brestois,Defender - Left-Back,27,26/08/2025,30/06/2026,€2.00m,,,,,,,,
Luck Zogbé,Tolikpaley Luck Evrad Zogbé,20,24/03/2005,Vieil Ousrou,Cote d'Ivoire,178,right,Stade Brestois,Defender - Right-Back,12,26/10/2023,30/06/2029,€2.00m,,,,,,,,
Kenny Lala,,34,03/10/1991,Villepinte,"France, Martinique",178,right,Stade Brestois,Defender - Right-Back,77,01/01/2023,30/06/2027,€1.80m,,,,,,,,
Joris Chotard,,24,24/09/2001,Orange,France,179,right,Stade Brestois,Midfield - Defensive Midfield,13,23/08/2025,30/06/2029,€6.00m,,,,,,,,
Hamidou Makalou,,19,15/07/2006,Bamako,Mali,164,right,Stade Brestois,Midfield - Defensive Midfield,33,15/03/2025,30/06/2029,€800k,,,,,,,,
Hugo Magnetti,,27,30/05/1998,Marseille,France,180,right,Stade Brestois,Midfield - Central Midfield,8,01/07/2018,30/06/2027,€6.00m,,,,,,,,
Lucas Tousart,,28,29/04/1997,Arras,France,184,right,Stade Brestois,Midfield - Central Midfield,24,01/09/2025,30/06/2027,€2.00m,,,,,,,,
Junior Dina Ebimbe,Éric Junior Dina Ebimbe,25,21/11/2000,Stains,"Cameroon, France",184,right,Stade Brestois,Midfield - Right Midfield,7,01/09/2025,30/06/2026,€6.00m,,,,,,,,
Kamory Doumbia,,22,18/02/2003,Bamako,Mali,170,right,Stade Brestois,Midfield - Attacking Midfield,23,30/08/2024,30/06/2029,€7.00m,,,,,,,,
Pathé Mboup,,22,19/10/2003,Mbao,Senegal,175,right,Stade Brestois,Attack - Left Winger,99,31/08/2025,30/06/2030,€3.00m,,,,,,,,
Romain Del Castillo,,29,29/03/1996,Lyon,"France, Spain",172,left,Stade Brestois,Attack - Right Winger,10,31/08/2021,30/06/2027,€7.00m,,,,,,,,
Mama Baldé,Mama Samba Baldé,30,06/11/1995,Bissau,"Guinea-Bissau, Portugal",176,right,Stade Brestois,Attack - Centre-Forward,17,30/08/2024,30/06/2027,€3.50m,,,,,,,,
Ludovic Ajorque,,31,25/02/1994,Saint-Joseph,"France, Réunion",196,left,Stade Brestois,Attack - Centre-Forward,19,01/07/2025,30/06/2027,€3.50m,,,,,,,,
Rémy Labeau Lascary,,22,03/03/2003,Les Abymes,"France, Guadeloupe",184,right,Stade Brestois,Attack - Centre-Forward,14,31/08/2025,30/06/2026,€1.80m,,,,,,,,
Saliou Diop,Serigne Saliou Diop,20,12/05/2005,,Senegal,187,right,Stade Brestois,Attack - Centre-Forward,29,01/07/2025,30/06/2026,€50k,,,,,,,,
Yvon Mvogo,Yvon Landry Mvogo Nganoma,31,06/06/1994,Yaounde,"Switzerland, Cameroon",190,right,FC Lorient,Goalkeeper,38,13/07/2022,30/06/2027,€3.00m,,,,,,,,
Bingourou Kamara,,29,21/10/1996,Longjumeau,"Senegal, France",195,right,FC Lorient,Goalkeeper,21,25/07/2025,30/06/2027,€700k,,,,,,,,
Benjamin Leroy,,36,07/04/1989,Cucq,France,184,right,FC Lorient,Goalkeeper,1,05/07/2024,30/06/2026,€100k,,,,,,,,
Montassar Talbi,منتصر الطالبي,27,26/05/1998,Paris,"Tunisia, France",190,right,FC Lorient,Defender - Centre-Back,3,18/07/2022,30/06/2027,€7.00m,,,,,,,,
Bamo Meïté,Bamo Abdoul Meïté,24,03/12/2001,Kani,"Cote d'Ivoire, France",184,right,FC Lorient,Defender - Centre-Back,5,01/09/2025,30/06/2026,€4.00m,,,,,,,,
Abdoulaye Faye,,21,22/09/2004,Kaolack,Senegal,191,left,FC Lorient,Defender - Centre-Back,25,29/07/2025,30/06/2026,€3.00m,,,,,,,,
Isaak Touré,Souleymane Isaak Touré,22,28/03/2003,Gonesse,"France, Cote d'Ivoire",206,left,FC Lorient,Defender - Centre-Back,95,01/09/2023,30/06/2028,€2.50m,,,,,,,,
Nathaniel Adjei,,23,21/08/2002,Teshie,Ghana,191,right,FC Lorient,Defender - Centre-Back,32,01/07/2024,30/06/2026,€1.20m,,,,,,,,
Arsène Kouassi,Arsène Kan Guy Kouassi,21,11/09/2004,Cocody,"Burkina Faso, Cote d'Ivoire",178,left,FC Lorient,Defender - Left-Back,43,24/07/2025,30/06/2029,€7.00m,,,,,,,,
Darlin Yongwa,Darlin Zidane Yongwa Ngameni,25,22/09/2000,Douala,Cameroon,177,left,FC Lorient,Defender - Left-Back,44,01/07/2022,30/06/2026,€4.00m,,,,,,,,
Igor Silva,Igor Silva de Almeida,29,21/08/1996,Niterói,Brazil,173,right,FC Lorient,Defender - Right-Back,2,23/07/2021,30/06/2026,€1.00m,,,,,,,,
Laurent Abergel,,33,01/02/1993,Marseille,France,170,right,FC Lorient,Midfield - Defensive Midfield,6,26/07/2019,30/06/2029,€2.00m,,,,,,,,
Arthur Avom,Arthur Avom Ebong,21,15/12/2004,Yaoundé,Cameroon,173,right,FC Lorient,Midfield - Central Midfield,62,01/07/2024,30/06/2026,€9.00m,,,,,,,,
Noah Cadiou,,27,26/10/1998,Lille,"Guadeloupe, France",191,right,FC Lorient,Midfield - Central Midfield,8,04/07/2025,30/06/2029,€1.00m,,,,,,,,
Théo Le Bris,,23,01/10/2002,Rennes,France,170,right,FC Lorient,Midfield - Right Midfield,11,01/07/2022,30/06/2027,€2.00m,,,,,,,,
Panos Katseris,Πάνος Κατσέρης,24,05/07/2001,Athens,Greece,187,right,FC Lorient,Midfield - Right Midfield,77,23/01/2024,30/06/2028,€2.00m,,,,,,,,
Dermane Karim,,22,26/12/2003,Sokodé,Togo,178,right,FC Lorient,Midfield - Attacking Midfield,29,09/08/2025,30/06/2026,€3.00m,,,,,,,,
Jean-Victor Makengo,,27,12/06/1998,Étampes,"France, DR Congo",177,left,FC Lorient,Midfield - Attacking Midfield,17,30/01/2023,30/06/2027,€2.50m,,,,,,,,
Bandiougou Fadiga,,25,15/01/2001,Paris,"France, Mali",178,right,FC Lorient,Midfield - Attacking Midfield,7,14/08/2024,30/06/2028,€250k,,,,,,,,
Pablo Pagis,,23,29/12/2002,Montbéliard,France,180,both,FC Lorient,Attack - Left Winger,10,01/07/2022,30/06/2027,€5.00m,,,,,,,,
Trevan Sanusi,,18,25/04/2007,,"England, Nigeria",178,right,FC Lorient,Attack - Left Winger,14,01/09/2025,30/06/2026,€500k,,,,,,,,
Sambou Soumano,,25,03/01/2001,Dakar,Senegal,182,right,FC Lorient,Attack - Centre-Forward,28,01/01/2022,30/06/2026,€4.00m,,,,,,,,
Mohamed Bamba,,24,10/12/2001,Bouaké,"Cote d'Ivoire, Guinea",185,right,FC Lorient,Attack - Centre-Forward,9,26/01/2024,30/06/2028,€2.50m,,,,,,,,
Aiyegun Tosin,Oluwatosin Aiyegun,27,26/06/1998,Lagos,"Benin, Nigeria",179,right,FC Lorient,Attack - Centre-Forward,15,25/07/2023,30/06/2027,€2.00m,,,,,,,,
Bamba Dieng,Cheikh Ahmadou Bamba Mbacké Dieng,25,23/03/2000,Pikine,Senegal,178,right,FC Lorient,Attack - Centre-Forward,12,27/01/2023,30/06/2026,€1.80m,,,,,,,,
Donovan Léon,Donovan René Léon,33,03/11/1992,Cayenne,"French Guiana, France",187,right,AJ Auxerre,Goalkeeper,16,01/07/2020,30/06/2027,€900k,,,,,,,,
Théo De Percin,Théo Franck Mathias De Percin,25,02/02/2001,Tarbes,"France, Martinique",185,right,AJ Auxerre,Goalkeeper,40,17/03/2021,30/06/2028,€300k,,,,,,,,
Tom Negrel,,22,13/04/2003,Nîmes,France,192,right,AJ Auxerre,Goalkeeper,30,10/07/2024,30/06/2026,€50k,,,,,,,,
Louis Mezerette,,19,30/08/2006,Le Mans,France,,right,AJ Auxerre B,Goalkeeper,,01/07/2025,30/06/2028,,,,,,,,,
Clément Akpa,,24,24/11/2001,Meudon,"Cote d'Ivoire, France",181,left,AJ Auxerre,Defender - Centre-Back,92,01/07/2022,30/06/2028,€8.00m,,,,,,,,
Sinaly Diomandé,,24,09/04/2001,Yopougon,Cote d'Ivoire,184,right,AJ Auxerre,Defender - Centre-Back,20,30/08/2024,30/06/2027,€4.00m,,,,,,,,
Francisco Sierralta,Francisco Andrés Sierralta Carvallo,28,06/05/1997,Las Condes,"Chile, Spain",192,right,AJ Auxerre,Defender - Centre-Back,4,01/07/2025,30/06/2029,€1.50m,,,,,,,,
Bryan Okoh,Bryan Ikemefuna Okoh,22,16/05/2003,"Houston, Texas","Switzerland, United States",191,left,AJ Auxerre,Defender - Centre-Back,24,29/01/2026,30/06/2029,€1.20m,,,,,,,,
Telli Siwe,,21,14/12/2004,Saint-Maurice,"France, Cameroon",,right,AJ Auxerre,Defender - Centre-Back,13,01/07/2025,30/06/2029,€1.00m,,,,,,,,
Elikya Legros,,17,06/06/2008,Rouen,"France, DR Congo",,right,AJ Auxerre B,Defender - Centre-Back,,01/07/2025,30/06/2028,,,,,,,,,
Alvin Petit Dol,,19,07/11/2006,Paris,"France, Haiti",193,right,AJ Auxerre B,Defender - Centre-Back,,01/07/2025,-,,,,,,,,,
Gideon Mensah,,27,18/07/1998,Accra,Ghana,178,left,AJ Auxerre,Defender - Left-Back,14,13/08/2022,30/06/2026,€3.50m,,,,,,,,
Fredrik Oppegård,,23,07/08/2002,Oslo,Norway,175,left,AJ Auxerre,Defender - Left-Back,22,29/01/2025,30/06/2028,€600k,,,,,,,,
Marvin Senaya,,25,28/01/2001,Saint-Maurice,"France, Togo",181,right,AJ Auxerre,Defender - Right-Back,29,01/07/2025,30/06/2029,€3.00m,,,,,,,,
Lamine Sy,,23,10/08/2002,Les Mureaux,"France, Senegal",171,right,AJ Auxerre,Defender - Right-Back,27,01/07/2025,30/06/2029,€800k,,,,,,,,
Elisha Owusu,,28,07/11/1997,Montreuil,"Ghana, France",182,right,AJ Auxerre,Midfield - Defensive Midfield,42,16/01/2023,30/06/2027,€3.50m,,,,,,,,
Oussama El Azzouzi,أسامة العزوزي,24,29/05/2001,Veenendaal,"Morocco, Netherlands",189,right,AJ Auxerre,Midfield - Defensive Midfield,17,01/08/2025,30/06/2026,€1.80m,,,,,,,,
Assane Dioussé,Assane Dioussé El Hadji,28,20/09/1997,Dakar,Senegal,175,left,AJ Auxerre,Midfield - Defensive Midfield,18,10/08/2023,30/06/2026,€600k,,,,,,,,
Nathan Buayi-Kiala,,21,29/02/2004,Lille,"France, DR Congo",177,right,AJ Auxerre,Midfield - Defensive Midfield,,01/07/2024,30/06/2026,€100k,,16,,,,,,
Kévin Danois,,21,28/06/2004,Basse-Terre,"France, Guadeloupe",183,right,AJ Auxerre,Midfield - Central Midfield,5,01/07/2022,30/06/2029,€10.00m,,,,,,,,
Naouirou Ahamada,Naouirou Mohamed Ahamada,23,29/03/2002,Marseille,"France, Comoros",183,right,AJ Auxerre,Midfield - Central Midfield,8,07/01/2026,30/06/2027,€3.50m,,,,,,,,
Tidiane Devernois,,18,18/10/2007,Évry-Courcouronnes,"France, Senegal",187,right,AJ Auxerre B,Midfield - Central Midfield,,01/07/2024,30/06/2028,€50k,,,,,,,,
Romain Faivre,,27,14/07/1998,Asnières-sur-Seine,"France, Algeria",180,left,AJ Auxerre,Midfield - Attacking Midfield,28,15/01/2026,30/06/2026,€5.00m,,,,,,,,
Danny Namaso,,25,28/08/2000,Reading,"Cameroon, England",182,right,AJ Auxerre,Attack - Left Winger,19,17/08/2025,30/06/2026,€5.00m,,,,,,,,
Josué Casimir,,24,24/09/2001,Baie-Mahault,"Haiti, Guadeloupe",178,right,AJ Auxerre,Attack - Right Winger,7,01/07/2025,30/06/2028,€3.50m,,,,,,,,
Lasso Coulibaly,,23,19/10/2002,Bouaké,Cote d'Ivoire,176,right,AJ Auxerre,Attack - Right Winger,21,01/07/2024,30/06/2028,€900k,,,,,,,,
Lassine Sinayoko,,26,08/12/1999,Bamako,"Mali, France",186,right,AJ Auxerre,Attack - Centre-Forward,10,01/07/2019,30/06/2027,€7.00m,,,,,,,,
Sékou Mara,,23,30/07/2002,Paris,"France, Senegal",183,right,AJ Auxerre,Attack - Centre-Forward,9,05/09/2025,30/06/2026,€4.00m,,,,,,,,
Ryan Rodin,,19,02/03/2006,Bourg-la-Reine,"France, Martinique",194,right,AJ Auxerre B,Attack - Centre-Forward,,01/01/2025,30/06/2028,€50k,,,,,,,,
Mory Diaw,,32,22/06/1993,Poissy,"Senegal, France",197,right,Le Havre AC,Goalkeeper,99,12/07/2025,30/06/2027,€1.00m,,,,,,,,
Lionel Mpasi-Nzau,Lionel M'Pasi N'Zau,31,01/08/1994,Meaux,"DR Congo, France",182,right,Le Havre AC,Goalkeeper,77,13/07/2025,30/06/2027,€400k,,,,,,,,
Paul Argney,Paul Antoine Robin Stanislas Argney,19,23/05/2006,Granville,France,186,right,Le Havre AC,Goalkeeper,50,01/07/2024,30/06/2027,€50k,,,,,,,,
Arouna Sangante,,23,12/04/2002,Mbao,"Senegal, Guinea-Bissau",189,right,Le Havre AC,Defender - Centre-Back,93,01/07/2021,30/06/2026,€8.00m,,,,,,,,
Gautier Lloris,,30,18/07/1995,Nice,France,191,left,Le Havre AC,Defender - Centre-Back,4,12/07/2022,30/06/2026,€3.00m,,,,,,,,
Étienne Youté Kinkoué,Étienne Ludovic Youté Kinkoué,24,14/01/2002,Lyon,"France, Cameroon",196,right,Le Havre AC,Defender - Centre-Back,6,11/01/2023,30/06/2026,€3.00m,,,,,,,,
Stephan Zagadou,,17,24/10/2008,Créteil,"France, Cote d'Ivoire",186,right,Le Havre AC,Defender - Centre-Back,29,01/07/2025,-,€100k,,,,,,,,
Yanis Zouaoui,,27,28/04/1998,Marseille,"France, Algeria",183,left,Le Havre AC,Defender - Left-Back,18,05/07/2024,30/06/2027,€1.80m,,,,,,,,
Fodé Doucouré,,25,03/02/2001,Bamako,Mali,172,right,Le Havre AC,Defender - Right-Back,13,22/07/2025,30/06/2027,€2.00m,,,,,,,,
Timothée Pembélé,Timothée Joseph Pembélé,23,09/09/2002,Beaumont-sur-Oise,"France, DR Congo",183,right,Le Havre AC,Defender - Right-Back,32,06/01/2026,30/06/2026,€2.00m,,,,,,,,
Loïc Nego,,35,15/01/1991,Paris,"Hungary, France",181,right,Le Havre AC,Defender - Right-Back,7,01/07/2023,30/06/2026,€600k,,,,,,,,
Lucas Gourna-Douath,,22,05/08/2003,Villeneuve-Saint-Georges,"France, Central African Republic",185,right,Le Havre AC,Midfield - Defensive Midfield,19,16/01/2026,30/06/2026,€4.00m,,,,,,,,
Ayumu Seko,瀬古 歩夢,25,07/06/2000,"Osaka, Osaka",Japan,186,right,Le Havre AC,Midfield - Defensive Midfield,15,22/07/2025,30/06/2027,€3.00m,,,,,,,,
Abdoulaye Touré,,31,03/03/1994,Nantes,"Guinea, France",188,right,Le Havre AC,Midfield - Defensive Midfield,94,26/07/2023,30/06/2026,€3.00m,,,,,,,,
Daren Mosengo,Daren Nbenbege Mosengo,19,11/08/2006,Rennes,"France, DR Congo",188,right,Le Havre AC,Midfield - Defensive Midfield,78,01/07/2025,-,€50k,,,,,,,,
Yassine Kechta,ياسين قشطة,23,25/02/2002,Paris,"Morocco, France",174,left,Le Havre AC,Midfield - Central Midfield,8,01/07/2022,30/06/2026,€5.00m,,,,,,,,
Rassoul Ndiaye,Rassoul Nader Ndiaye,24,11/12/2001,Besançon,"Senegal, France",179,right,Le Havre AC,Midfield - Central Midfield,14,17/07/2023,30/06/2028,€5.00m,,,,,,,,
Simon Ebonog,,21,16/08/2004,Yaoundé,"France, Cameroon",180,right,Le Havre AC,Midfield - Central Midfield,26,01/07/2024,30/06/2029,€1.00m,,,,,,,,
Guy-Noël Zohouri,Guy-Noël Prince Zohouri,19,01/02/2007,Saint-Maurice,"Cote d'Ivoire, France",188,right,Le Havre AC,Midfield - Central Midfield,24,01/07/2025,30/06/2027,,,,,,,,,
Sofiane Boufal,سفيان بوفال,32,17/09/1993,Paris,"Morocco, France",175,right,Le Havre AC,Midfield - Attacking Midfield,17,14/01/2026,30/06/2026,€2.00m,,,,,,,,
Reda Khadra,Reda Jousef Khadra,24,04/07/2001,Berlin,"Germany, Lebanon",175,right,Le Havre AC,Midfield - Attacking Midfield,30,01/09/2025,30/06/2026,€1.80m,,,,,,,,
Issa Soumaré,,25,10/10/2000,Podor,"Senegal, Mauritania",184,right,Le Havre AC,Attack - Left Winger,45,04/07/2023,30/06/2026,€5.00m,,,,,,,,
Felix Mambimbi,Felix Khonde Mambimbi,25,18/01/2001,Fribourg,"Switzerland, DR Congo",171,right,Le Havre AC,Attack - Left Winger,10,11/07/2025,30/06/2027,€600k,,,,,,,,
Godson Kyeremeh,,25,14/06/2000,Melun,"France, Ghana",177,right,Le Havre AC,Attack - Right Winger,11,11/07/2025,30/06/2027,€800k,,,,,,,,
Ally Samatta,Mbwana Ally Samatta,33,23/12/1992,Dar es Salam,Tanzania,183,right,Le Havre AC,Attack - Centre-Forward,25,05/08/2025,30/06/2026,€800k,,,,,,,,
Noam Obougou,Noam Obougou Jacquet,19,15/03/2006,Besançon,"France, Cameroon",,,Le Havre AC,Attack - Centre-Forward,20,14/01/2026,-,€150k,,,,,,,,
Kenny Quetant,,19,17/07/2006,Paris,France,189,right,Le Havre AC,Attack - Centre-Forward,33,01/01/2026,30/06/2026,€150k,,,,,,,,
Jonathan Fischer,Jonathan Frost Fischer,24,09/11/2001,,Denmark,198,left,FC Metz,Goalkeeper,1,29/07/2025,30/06/2029,€3.00m,,,,,,,,
Pape Sy,Pape Mamadou Sy,28,02/05/1997,Louga,Senegal,206,right,FC Metz,Goalkeeper,61,26/07/2024,30/06/2026,€300k,,,,,,,,
Ousmane Ba,,23,06/06/2002,Rufisque,Senegal,187,right,FC Metz,Goalkeeper,40,10/09/2025,30/06/2027,€100k,,,,,,,,
Sadibou Sané,,21,10/06/2004,Diouloulou,Senegal,182,right,FC Metz,Defender - Centre-Back,38,22/07/2023,30/06/2027,€4.00m,,,,,,,,
Terry Yegbe,,25,25/01/2001,Akatsi,Ghana,195,left,FC Metz,Defender - Centre-Back,15,30/08/2025,30/06/2029,€3.00m,,,,,,,,
Jean-Philippe Gbamin,,30,25/09/1995,San-Pédro,"Cote d'Ivoire, France",186,right,FC Metz,Defender - Centre-Back,5,15/07/2025,30/06/2026,€2.00m,,,,,,,,
Michel Mboula,Urie-Michel Mboula,22,30/04/2003,Libreville,Gabon,185,left,FC Metz,Defender - Centre-Back,4,01/07/2025,30/06/2028,€1.00m,,,,,,,,
Fodé Ballo-Touré,Fodé Ballo-Touré,29,03/01/1997,Conflans-Sainte-Honorine,"Senegal, France",182,left,FC Metz,Defender - Left-Back,97,03/09/2025,30/06/2026,€1.00m,,,,,,,,
Yannis Lawson,,21,22/11/2004,,Belgium,179,left,FC Metz,Defender - Left-Back,27,03/07/2025,30/06/2028,€250k,,,,,,,,
Koffi Kouao,Koffi Franck Kouao,27,20/05/1998,Abidjan,Cote d'Ivoire,173,right,FC Metz,Defender - Right-Back,39,12/08/2022,30/06/2026,€2.50m,,,,,,,,
Bouna Sarr,Bouna Junior Sarr,34,31/01/1992,Lyon,"Senegal, France",178,right,FC Metz,Defender - Right-Back,70,02/02/2026,30/06/2026,€400k,,,,,,,,
Maxime Colin,Maxime Jean-Yves Colin,34,15/11/1991,Arras,France,180,right,FC Metz,Defender - Right-Back,2,27/07/2023,30/06/2027,€300k,,,,,,,,
Cléo Mélières,,20,13/04/2005,Besançon,France,,right,FC Metz,Defender - Right-Back,25,01/07/2025,30/06/2026,€100k,,,,,,,,
Boubacar Traoré,,24,20/08/2001,Bamako,Mali,183,right,FC Metz,Midfield - Defensive Midfield,8,24/07/2025,30/06/2026,€5.00m,,,,,,,,
Alpha Touré,Alpha Amadou Touré,20,25/01/2006,Kaolack,Senegal,180,left,FC Metz,Midfield - Defensive Midfield,12,12/07/2024,30/06/2028,€2.00m,,,,,,,,
Benjamin Stambouli,Benjamin Fernand Lucien Francois Stambouli,35,13/08/1990,Marseille,"France, Algeria",180,right,FC Metz,Midfield - Defensive Midfield,21,10/09/2024,30/06/2026,€300k,,,,,,,,
Jessy Deminguet,,28,07/01/1998,Lisieux,France,178,left,FC Metz,Midfield - Central Midfield,20,01/07/2025,30/06/2028,€2.50m,,,,,,,,
Ismaël Guerti,إسماعيل غيرتي,21,30/07/2004,Argenteuil,"Morocco, France",178,right,FC Metz,Midfield - Attacking Midfield,29,01/07/2025,30/06/2027,€100k,,,,,,,,
Lucas Michal,,20,22/06/2005,Bourg-la-Reine,"France, Martinique",185,right,FC Metz,Attack - Left Winger,19,02/02/2026,30/06/2026,€2.50m,,,,,,,,
Giorgi Abuashvili,გიორგი აბუაშვილი,23,08/02/2003,Tiflis,Georgia,175,right,FC Metz,Attack - Left Winger,9,17/07/2025,30/06/2026,€1.20m,,,,,,,,
Gauthier Hein,,29,07/08/1996,Thionville,France,170,left,FC Metz,Attack - Right Winger,10,15/08/2024,30/06/2028,€5.00m,,,,,,,,
Giorgi Tsitaishvili,გიორგი წიტაიშვილი,25,18/11/2000,Rischon LeZion,"Georgia, Ukraine",171,left,FC Metz,Attack - Right Winger,7,11/07/2025,30/06/2026,€2.50m,,,,,,,,
Joel Asoro,Joel Joshoghene Asoro,26,27/04/1999,Haninge,"Sweden, Nigeria",176,right,FC Metz,Attack - Right Winger,99,24/08/2023,30/06/2027,€900k,,,,,,,,
Habib Diallo,Habibou Mouhamadou Diallo,30,18/06/1995,Thiès,"Senegal, France",186,right,FC Metz,Attack - Centre-Forward,30,31/08/2025,30/06/2028,€5.00m,,,,,,,,
Giorgi Kvilitaia,გიორგი ქვილითაია,32,01/10/1993,Abasha,Georgia,193,right,FC Metz,Attack - Centre-Forward,11,02/02/2026,30/06/2026,€1.00m,,,,,,,,
Joseph Mangondo,Lima Joseph Mangondo,20,06/08/2005,Villeneuve-Saint-Georges,"France, Cameroon",185,left,FC Metz,Attack - Centre-Forward,17,01/07/2025,30/06/2028,€50k,,15,9,2,,,,
Hervé Koffi,Hervé Koffi Kouakou,29,16/10/1996,Bobo-Dioulasso,"Burkina Faso, Cote d'Ivoire",184,right,Angers SCO,Goalkeeper,12,01/07/2025,30/06/2026,€3.00m,,,,,,,,
Melvin Zinga,,23,16/03/2002,Montivilliers,France,187,left,Angers SCO,Goalkeeper,16,01/07/2022,30/06/2026,€300k,,,,,,,,
Oumar Pona,Oumar Kalifa Pona,19,21/06/2006,Bondy,"Mali, France",189,right,Angers SCO,Goalkeeper,40,01/07/2025,30/06/2027,€100k,,,,,,,,
Ousmane Camara,,22,06/03/2003,Paris,"Mali, France",197,right,Angers SCO,Defender - Centre-Back,4,16/08/2022,30/06/2029,€4.00m,,,,,,,,
Emmanuel Biumla,Emmanuel Bahiya Biumla,20,08/05/2005,Yopougon,"France, Cameroon",185,right,Angers SCO,Defender - Centre-Back,24,31/07/2024,30/06/2028,€3.00m,,,,,,,,
Jordan Lefort,,32,09/08/1993,Champigny-sur-Marne,France,184,left,Angers SCO,Defender - Centre-Back,21,01/07/2023,30/06/2029,€1.20m,,,,,,,,
Abdoulaye Bamba,,35,25/04/1990,Abidjan,"Cote d'Ivoire, Italy",182,right,Angers SCO,Defender - Centre-Back,25,01/01/2017,30/06/2026,€250k,,,,,,,,
Jacques Ekomié,,22,19/08/2003,Libreville,"Gabon, France",179,left,Angers SCO,Defender - Left-Back,3,31/07/2024,30/06/2027,€4.00m,,,,,,,,
